Comments,Surrounding Code Context,Class
/*ignores error*/,"-10. {
-9.   struct initurl *u = (struct initurl *)ptr;
-8.   int i;
-7.   time_t end = time(NULL) + RUN_FOR_SECONDS;
-6.   for(i = 0; time(NULL) < end; i++) {
-5.     CURL *curl = curl_easy_init();
-4.     curl_easy_setopt(curl, CURLOPT_URL, u->url);
-3.",Not Useful
/*if this happens things are major weird*/,"-10.   struct_stat file_info;
-9.   if(!libtest_arg2) {
-8.     fprintf(stderr, ""Usage: <url> <file-to-upload>\n"");
-7.     return TEST_ERR_USAGE;
-6.   }
-5.   hd_src = fopen(libtest_arg2, ""rb"");
-4.   if(!hd_src) {
-3.     fprintf(stderr, ""fopen failed ",Not Useful
/*enable uploading*/,"-7.   curl = curl_easy_init();
-6.   if(!curl) {
-5.     fprintf(stderr, ""curl_easy_init() failed\n"");
-4.     curl_global_cleanup();
-3.     fclose(hd_src);
-2.     return TEST_ERR_MAJOR_BAD;
-1.   }

/*enable uploading*/

1.   test_setopt(curl, CURLOPT_",Not Useful
/*enable verbose*/,"-1.   test_setopt(curl, CURLOPT_UPLOAD, 1L);

/*enable verbose*/

1.   test_setopt(curl, CURLOPT_VERBOSE, 1L);",Not Useful
/*now specify which file to upload*/,"-1.   test_setopt(curl, CURLOPT_URL, URL);

/*now specify which file to upload*/

1.   test_setopt(curl, CURLOPT_READDATA, hd_src);",Not Useful
/*Now run off and do what you've been told!*/,"-1.   test_setopt(curl, CURLOPT_READDATA, hd_src);

/*Now run off and do what you've been told!*/

1.   curl_easy_perform(curl);",Not Useful
"/*and now upload the exact same again, but without rewinding so it already
     is at end of file*/","-1.   curl_easy_perform(curl);

/*and now upload the exact same again, but without rewinding so it already
     is at end of file*/

1.   res = curl_easy_perform(curl);
2. test_cleanup:",Not Useful
/*close the local file*/,"-2.   res = curl_easy_perform(curl);
-1. test_cleanup:

/*close the local file*/

1.   fclose(hd_src);
2.   curl_easy_cleanup(curl);
3.   curl_global_cleanup();
4.   return res;
5. }",Not Useful
"/*****************************************************************************
*                      STRUCT DECLARATIONS AND DEFINES                       *
*****************************************************************************/","-1. #include ""memdebug.h""
/*****************************************************************************

/*****************************************************************************
*                      STRUCT DECLARATIONS AND DEFINES                ",Not Useful
/*SEGSIZE defined in arpa/tftp.h*/,"-1. #ifndef PKTSIZE

/*SEGSIZE defined in arpa/tftp.h*/

1. #endif
2. struct testcase {",Not Useful
/*size of the data in buffer*/,"-3. #endif
-2. struct testcase {

/*size of the data in buffer*/

111",Not Useful
/*read pointer into the buffer*/,"-4. #endif
-3. struct testcase {

/*read pointer into the buffer*/

111",Not Useful
/*test case number*/,"-6. #endif
-5. struct testcase {

/*test case number*/

111",Not Useful
/*number of seconds between each packet*/,"-8. #endif
-7. struct testcase {

/*number of seconds between each packet*/

1. };
2. struct formats {
3.   const char *f_mode;
4.   int f_convert;
5. };
6. struct errmsg {
7.   int e_code;
8.   const char *e_msg;
9. };
10. typedef union {",Not Useful
"/*size of data in buffer, or flag*/","-1. struct bf {

/*size of data in buffer, or flag*/

111",Not Useful
/*room for data packet*/,"-2. struct bf {

/*room for data packet*/

1. };",Not Useful
/*UDP*/,"-10. #define opcode_DATA  3
-9. #define opcode_ACK   4
-8. #define opcode_ERROR 5
-7. #define TIMEOUT      5
-6. #undef MIN
-5. #define MIN(x,y) ((x)<(y)?(x):(y))
-4. #ifndef DEFAULT_LOGFILE
-3. #define DEFAULT_LOGFILE ""log/tftpd.log""
-2. #endif
-1. #defi",Not Useful
"/*****************************************************************************
*                              GLOBAL VARIABLES                              *
*****************************************************************************/","-1. #include ""memdebug.h""
/*****************************************************************************

/*****************************************************************************
*                              GLOBAL VARIABLES                       ",Not Useful
/*index of next buffer to use*/,"-10.   { EEXISTS,      ""File already exists"" },
-9.   { ENOUSER,      ""No such user"" },
-8.   { -1,           0 }
-7. };
-6. static const struct formats formata[] = {
-5.   { ""netascii"",   1 },
-4.   { ""octet"",      0 },
-3.   { NULL,         0 }
-2. };
-",Not Useful
/*index of buffer in use*/,"-10.   { ENOUSER,      ""No such user"" },
-9.   { -1,           0 }
-8. };
-7. static const struct formats formata[] = {
-6.   { ""netascii"",   1 },
-5.   { ""octet"",      0 },
-4.   { NULL,         0 }
-3. };
-2. static struct bf bfs[2];

/*index of buffer ",Not Useful
"/*****************************************************************************
*                            FUNCTION PROTOTYPES                             *
*****************************************************************************/","-1. #include ""memdebug.h""
/*****************************************************************************

/*****************************************************************************
*                            FUNCTION PROTOTYPES                      ",Not Useful
/*HAVE_ALARM && SIGALRM*/,"-10. static int synchnet(curl_socket_t);
-9. static int do_tftp(struct testcase *test, struct tftphdr *tp, ssize_t size);
-8. static int validate_access(struct testcase *test, const char *fname, int mode);
-7. static void sendtftp(struct testcase *test, c",Not Useful
"/*****************************************************************************
*                          FUNCTION IMPLEMENTATIONS                          *
*****************************************************************************/","-1. #include ""memdebug.h""
/*****************************************************************************

/*****************************************************************************
*                          FUNCTION IMPLEMENTATIONS                   ",Not Useful
/*HAVE_ALARM && SIGALRM*/,"-10. static int synchnet(curl_socket_t);
-9. static int do_tftp(struct testcase *test, struct tftphdr *tp, ssize_t size);
-8. static int validate_access(struct testcase *test, const char *fname, int mode);
-7. static void sendtftp(struct testcase *test, c",Not Useful
/*init crlf flag*/,"-2. static struct tftphdr *rw_init(int x)
-1. {

/*init crlf flag*/

1.   prevchar = -1;",Not Useful
/*ahead or behind?*/,"-2.   current = 0;
-1.   bfs[1].counter = BF_FREE;

/*ahead or behind?*/

1.   return &bfs[0].buf.hdr;
2. }
3. static struct tftphdr *w_init(void)
4. {",Not Useful
/*write-behind*/,"-1. /*
 * init for either read-ahead or write-behind.

/*write-behind*/

1.  * zero for write-behind, one for read-head.
2.  */
3. static struct tftphdr *rw_init(int x)
4. {",Not Useful
/*read-ahead*/,"-1. /*
 * init for either read-ahead or write-behind.

/*read-ahead*/

1.  * zero for write-behind, one for read-head.
2.  */
3. static struct tftphdr *rw_init(int x)
4. {",Not Useful
"/*The former file reading code did this:
       b->counter = read(fileno(file), dp->th_data, SEGSIZE);*/","-2.   dp = &b->buf.hdr;
-1.   if(convert == 0) {

/*The former file reading code did this:
       b->counter = read(fileno(file), dp->th_data, SEGSIZE);*/

1.     size_t copy_n = MIN(SEGSIZE, test->rcount);
2.     memcpy(dp->th_data, test->rptr, copy_n);",Not Useful
"/*decrease amount, advance pointer*/","-2.     size_t copy_n = MIN(SEGSIZE, test->rcount);
-1.     memcpy(dp->th_data, test->rptr, copy_n);

/*decrease amount, advance pointer*/

1.     test->rcount -= copy_n;
2.     test->rptr += copy_n;
3.     b->counter = (int)copy_n;
4.     return;
5.   }
",Not Useful
"/*lf to cr,lf*/","-9.     test->rcount -= copy_n;
-8.     test->rptr += copy_n;
-7.     b->counter = (int)copy_n;
-6.     return;
-5.   }
-4.   p = dp->th_data;
-3.   for(i = 0 ; i < SEGSIZE; i++) {
-2.     if(newline) {
-1.       if(prevchar == '\n')

/*lf to cr,lf*/

1. ",Not Useful
"/*cr to cr,nul*/","-1.       else

/*cr to cr,nul*/

1.       newline = 0;
2.     }
3.     else {
4.       if(test->rcount) {
5.         c = test->rptr[0];
6.         test->rptr++;
7.         test->rcount--;
8.       }
9.       else
10.         break;",Not Useful
/*set size of data to write*/,"-3. static int writeit(struct testcase *test, struct tftphdr * volatile *dpp,
-2.                    int ct, int convert)
-1. {

/*set size of data to write*/

111",Not Useful
/*switch to other buffer*/,"-4. static int writeit(struct testcase *test, struct tftphdr * volatile *dpp,
-3.                    int ct, int convert)
-2. {

/*switch to other buffer*/

111",Not Useful
/*if not free*/,"-7. {
-6.   int i;
-5.   char *p;
-4.   int c;
-3.   struct bf *b;
-2.   struct tftphdr *dp;

/*if not free*/

1.     return;",Not Useful
/*flush it*/,"-6. static int writeit(struct testcase *test, struct tftphdr * volatile *dpp,
-5.                    int ct, int convert)
-4. {

/*flush it*/

111",Not Useful
/*mark as alloc'd*/,"-7. static int writeit(struct testcase *test, struct tftphdr * volatile *dpp,
-6.                    int ct, int convert)
-5. {

/*mark as alloc'd*/

1.   *dpp =  &bfs[current].buf.hdr;",Not Useful
/*this is a lie of course*/,"-1.   *dpp =  &bfs[current].buf.hdr;

/*this is a lie of course*/

1. }",Not Useful
/*current character*/,"-10.  * CR, NUL -> CR  and CR, LF => LF.
-9.  * Note spec is undefined if we get CR as last byte of file or a
-8.  * CR followed by anything else.  In this case we leave it alone.
-7.  */
-6. static ssize_t write_behind(struct testcase *test, int convert)",Not Useful
/*anything to flush?*/,"-3.   struct bf *b;
-2.   struct tftphdr *dp;
-1.   b = &bfs[nextone];

/*anything to flush?*/

111",Not Useful
/*just nop if nothing to do*/,"-4.   struct bf *b;
-3.   struct tftphdr *dp;
-2.   b = &bfs[nextone];

/*just nop if nothing to do*/

1.   if(!test->ofile) {
2.     char outfile[256];
3.     msnprintf(outfile, sizeof(outfile), ""log/upload.%ld"", test->testno);
4. #ifdef WIN32
5.     tes",Not Useful
/*remember byte count*/,"-2.     }
-1.   }

/*remember byte count*/

111",Not Useful
/*reset flag*/,"-3.     }
-2.   }

/*reset flag*/

1.   dp = &b->buf.hdr;",Not Useful
/*incr for next time*/,"-1.   dp = &b->buf.hdr;

/*incr for next time*/

1.   writebuf = dp->th_data;
2.   if(count <= 0)",Not Useful
/*loop over the buffer*/,"-4.   if(convert == 0)
-3.     return write(test->ofile, writebuf, count);
-2.   p = writebuf;
-1.   ct = count;

/*loop over the buffer*/

111",Not Useful
/*pick up a character*/,"-5.   if(convert == 0)
-4.     return write(test->ofile, writebuf, count);
-3.   p = writebuf;
-2.   ct = count;

/*pick up a character*/

111",Not Useful
/*if prev char was cr*/,"-6.   if(convert == 0)
-5.     return write(test->ofile, writebuf, count);
-4.   p = writebuf;
-3.   ct = count;

/*if prev char was cr*/

111",Not Useful
"/*if have cr,lf then just*/","-7.   if(convert == 0)
-6.     return write(test->ofile, writebuf, count);
-5.   p = writebuf;
-4.   ct = count;

/*if have cr,lf then just*/

111",Not Useful
/*smash lf on top of the cr*/,"-8.   if(convert == 0)
-7.     return write(test->ofile, writebuf, count);
-6.   p = writebuf;
-5.   ct = count;

/*smash lf on top of the cr*/

1.       else",Not Useful
"/*if have cr,nul then*/","-1.       else

/*if have cr,nul then*/

111",Not Useful
/*just skip over the putc*/,"-2.       else

/*just skip over the putc*/

111",Not Useful
/*else just fall through and allow it*/,"-3.       else

/*else just fall through and allow it*/

1.     }",Not Useful
"/*formerly
       putc(c, file);*/","-5.       else

/*formerly
       putc(c, file);*/

1.     if(1 != write(test->ofile, &c, 1))
2.       break;
3.     skipit:
4.     prevchar = c;
5.   }
6.   return count;
7. }
8. /* When an error has occurred, it is possible that the two sides are out of",Not Useful
/*store input protocol*/,"-7.   FILE *server = fopen(REQUEST_DUMP, ""ab"");
-6.   if(!server) {
-5.     int error = errno;
-4.     logmsg(""fopen() failed with error: %d %s"", error, strerror(error));
-3.     logmsg(""Error opening file: %s"", REQUEST_DUMP);
-2.     return -1;
-1.   }

",Not Useful
/*no more options*/,"-10.   do {
-9.     bool endofit = true;
-8.     while(cp < &buf.storage[size]) {
-7.       if(*cp == '\0') {
-6.         endofit = false;
-5.         break;
-4.       }
-3.       cp++;
-2.     }
-1.     if(endofit)

/*no more options*/

1.       break;",Not Useful
/*No more options*/,"-5.         option = cp;
-4.       }
-3.       toggle ^= 1;
-2.     }
-1.     else

/*No more options*/

1.       break;
2.   } while(1);
3.   if(*cp) {
4.     nak(EBADOP);
5.     fclose(server);
6.     return 3;
7.   }",Not Useful
/*get to the letter following the newline*/,"-4.       check = strchr(cmd, '\r');
-3.       if(!check)
-2.         check = strchr(cmd, '\n');
-1.       if(check) {

/*get to the letter following the newline*/

1.         while((*check == '\r') || (*check == '\n'))
2.           check++;
3.         if",Not Useful
"/*if we reached a zero, get out*/","-3.         while((*check == '\r') || (*check == '\n'))
-2.           check++;
-1.         if(!*check)

/*if we reached a zero, get out*/

1.           break;
2.         cmd = check;
3.       }
4.       else
5.         break;
6.     }
7.     free(orgcmd);",Not Useful
/** Validate file access.*/,"-2. }
-1. /*
 * Validate file access.

/** Validate file access.*/

1.  */
2. static int validate_access(struct testcase *test,
3.                            const char *filename, int mode)
4. {
5.   char *ptr;
6.   logmsg(""trying to get file: %s mode %x""",Not Useful
/*set read pointer*/,"-10.                            const char *filename, int mode)
-9. {
-8.   char *ptr;
-7.   logmsg(""trying to get file: %s mode %x"", filename, mode);
-6.   if(!strncmp(""verifiedserver"", filename, 14)) {
-5.     char weare[128];
-4.     size_t count = msn",Not Useful
/*set total count*/,"-10. {
-9.   char *ptr;
-8.   logmsg(""trying to get file: %s mode %x"", filename, mode);
-7.   if(!strncmp(""verifiedserver"", filename, 14)) {
-6.     char weare[128];
-5.     size_t count = msnprintf(weare, sizeof(weare), ""WE ROOLZ: %""
-4.                 ",Not Useful
/*set data left to read*/,"-10.   char *ptr;
-9.   logmsg(""trying to get file: %s mode %x"", filename, mode);
-8.   if(!strncmp(""verifiedserver"", filename, 14)) {
-7.     char weare[128];
-6.     size_t count = msnprintf(weare, sizeof(weare), ""WE ROOLZ: %""
-5.                       ",Not Useful
/*find the last slash*/,"-1.   }

/*find the last slash*/

1.   ptr = strrchr(filename, '/');
2.   if(ptr) {
3.     char partbuf[80]=""data"";
4.     long partno;
5.     long testno;
6.     FILE *stream;",Not Useful
/*set read pointer*/,"-10.                            const char *filename, int mode)
-9. {
-8.   char *ptr;
-7.   logmsg(""trying to get file: %s mode %x"", filename, mode);
-6.   if(!strncmp(""verifiedserver"", filename, 14)) {
-5.     char weare[128];
-4.     size_t count = msn",Not Useful
/*set total count*/,"-10. {
-9.   char *ptr;
-8.   logmsg(""trying to get file: %s mode %x"", filename, mode);
-7.   if(!strncmp(""verifiedserver"", filename, 14)) {
-6.     char weare[128];
-5.     size_t count = msnprintf(weare, sizeof(weare), ""WE ROOLZ: %""
-4.                 ",Not Useful
/*set data left to read*/,"-10.   char *ptr;
-9.   logmsg(""trying to get file: %s mode %x"", filename, mode);
-8.   if(!strncmp(""verifiedserver"", filename, 14)) {
-7.     char weare[128];
-6.     size_t count = msnprintf(weare, sizeof(weare), ""WE ROOLZ: %""
-5.                       ",Not Useful
/*block count*/,"-5. static void sendtftp(struct testcase *test, const struct formats *pf)
-4. {
-3.   int size;
-2.   ssize_t n;

/*block count*/

111",Not Useful
/*block count*/,"-5. static void sendtftp(struct testcase *test, const struct formats *pf)
-4. {
-3.   int size;
-2.   ssize_t n;

/*block count*/

111",Not Useful
/*really?*/,"-10.       alarm(rexmtval);
-9. #endif
-8.       logmsg(""read"");
-7.       n = sread(peer, rdp, PKTSIZE);
-6.       logmsg(""read: %zd"", n);
-5. #ifdef HAVE_ALARM
-4.       alarm(0);
-3. #endif
-2.       if(got_exit_signal)
-1.         goto abort;

/*reall",Not Useful
/*rexmit*/,"-2.         (void) synchnet(peer);
-1.         if(rdp->th_block == (recvblock-1))

/*rexmit*/

1.       }
2.     }
3.     size = writeit(test, &rdp, (int)(n - 4), pf->f_convert);",Not Useful
/*ahem*/,"-3.       }
-2.     }
-1.     size = writeit(test, &rdp, (int)(n - 4), pf->f_convert);

/*ahem*/

1.       if(size < 0)
2.         nak(errno + 100);
3.       else
4.         nak(ENOSPACE);
5.       goto abort;
6.     }
7.   } while(size == SEGSIZE);
8.   ",Not Useful
/*if read some data*/,"-6.   n = sread(peer, &buf.storage[0], sizeof(buf.storage));
-5. #ifdef HAVE_ALARM
-4.   alarm(0);
-3. #endif
-2.   if(got_exit_signal)
-1.     goto abort;

/*if read some data*/

111",Not Useful
/*and got a data block*/,"-7.   n = sread(peer, &buf.storage[0], sizeof(buf.storage));
-6. #ifdef HAVE_ALARM
-5.   alarm(0);
-4. #endif
-3.   if(got_exit_signal)
-2.     goto abort;

/*and got a data block*/

111",Not Useful
"/** This is a fake ntlm_auth, which is used for testing NTLM single-sign-on.
 * When DEBUGBUILD is defined, libcurl invoke this tool instead of real winbind
 * daemon helper /usr/bin/ntlm_auth. This tool will accept commands and
 * responses with a pre-written string saved in test case test2005.*/",#NAME?,Not Useful
"/** The purpose of this tool is to figure out which, if any, features that are
 * disabled which should otherwise exist and work. These aren't visible in
 * regular curl -V output.
 *
 * Disabled protocols are visible in curl_version_info() and are not included
 * in this table.*/",#NAME?,Not Useful
"/*argv1 = URL
 * argv2 = proxy
 * argv3 = proxyuser:password*/",#NAME?,Not Useful
/*bump*/,"-3.     fprintf(stderr, ""READ ALREADY DONE!\n"");
-2.     return 0;
-1.   }

/*bump*/

1.   if(size * nmemb > strlen(UPLOADTHIS)) {
2.     fprintf(stderr, ""READ!\n"");
3.     strcpy(ptr, UPLOADTHIS);
4.     return strlen(UPLOADTHIS);
5.   }
6.   fprintf(std",Not Useful
/*unused*/,"-10.     return strlen(UPLOADTHIS);
-9.   }
-8.   fprintf(stderr, ""READ NOT FINE!\n"");
-7.   return 0;
-6. }
-5. static curlioerr ioctlcallback(CURL *handle,
-4.                                int cmd,
-3.                                void *clientp)
-2.",Not Useful
/*clear counter to make the read callback restart*/,"-2.   if(cmd == CURLIOCMD_RESTARTREAD) {
-1.     fprintf(stderr, ""REWIND!\n"");

/*clear counter to make the read callback restart*/

1.   }
2.   return CURLIOE_OK;
3. }
4. #endif
5. int test(char *URL)
6. {
7.   CURLcode res;
8.   CURL *curl;
9. #ifndef L",Not Useful
/*always cleanup*/,"-2.   res = curl_easy_perform(curl);
-1. test_cleanup:

/*always cleanup*/

1.   curl_easy_cleanup(curl);
2.   curl_global_cleanup();
3.   return (int)res;
4. }",Not Useful
/*errno.h value*/,"-3. #include ""memdebug.h""
-2. #ifdef USE_WINSOCK
-1. #undef  EINTR

/*errno.h value*/

1. #undef  EAGAIN",Not Useful
/*errno.h value*/,"-3. #include ""memdebug.h""
-2. #ifdef USE_WINSOCK
-1. #undef  EINTR

/*errno.h value*/

1. #undef  EAGAIN",Not Useful
/*errno.h value*/,"-3. #include ""memdebug.h""
-2. #ifdef USE_WINSOCK
-1. #undef  EINTR

/*errno.h value*/

1. #undef  EAGAIN",Not Useful
/*errno.h value*/,"-3. #include ""memdebug.h""
-2. #ifdef USE_WINSOCK
-1. #undef  EINTR

/*errno.h value*/

1. #undef  EAGAIN",Not Useful
/** read-wrapper to support reading from stdin on Windows.*/,"-3. };
-2. #ifdef WIN32
-1. /*
 * read-wrapper to support reading from stdin on Windows.

/** read-wrapper to support reading from stdin on Windows.*/

1.  */
2. static ssize_t read_wincon(int fd, void *buf, size_t count)
3. {
4.   HANDLE handle = NULL;
5",Not Useful
/** write-wrapper to support writing to stdout and stderr on Windows.*/,"-10.   }
-9.   if(success) {
-8.     return rcount;
-7.   }
-6.   errno = GetLastError();
-5.   return -1;
-4. }
-3. #undef  read
-2. #define read(a,b,c) read_wincon(a,b,c)
-1. /*
 * write-wrapper to support writing to stdout and stderr on Windows.

/** w",Not Useful
/*actual handle to wait for during select*/,"-2.  */
-1. struct select_ws_wait_data {

/*actual handle to wait for during select*/

111",Not Useful
/*internal event to abort waiting thread*/,"-4.  */
-3. struct select_ws_wait_data {

/*internal event to abort waiting thread*/

111",Not Useful
/*get total size of file*/,"-10.         * - comparison of current position in file and total size of
-9.         *   the file can be used to check if we reached the end yet.
-8.         *
-7.         * Approach: Loop till either the internal event is signalled
-6.         *        ",Not Useful
/*get the current position within the file*/,"-6.           length = 0;
-5.           size.QuadPart = 0;
-4.           size.LowPart = GetFileSize(handle, &length);
-3.           if((size.LowPart != INVALID_FILE_SIZE) ||
-2.              (GetLastError() == NO_ERROR)) {
-1.             size.HighPart = ",Not Useful
"/*compare position with size, abort if not equal*/","-5.             pos.QuadPart = 0;
-4.             pos.LowPart = SetFilePointer(handle, 0, &pos.HighPart,
-3.                                         FILE_CURRENT);
-2.             if((pos.LowPart != INVALID_SET_FILE_POINTER) ||
-1.                (GetLast",Not Useful
/*sleep and continue waiting*/,"-1.               if(size.QuadPart == pos.QuadPart) {

/*sleep and continue waiting*/

1.                 SleepEx(0, FALSE);
2.                 ReleaseMutex(mutex);
3.                 continue;
4.               }
5.             }
6.           }",Not Useful
"/*there is some data available, stop waiting*/","-6.                 SleepEx(0, FALSE);
-5.                 ReleaseMutex(mutex);
-4.                 continue;
-3.               }
-2.             }
-1.           }

/*there is some data available, stop waiting*/

1.           logmsg(""[select_ws_wait_threa",Not Useful
/*check if this is an actual console handle*/,"-10.         * - WaitForMultipleObjectsEx will be signalled on any kind of input,
-9.         *   including mouse and window size events we do not care about.
-8.         *
-7.         * Approach: Loop till either the internal event is signalled
-6.      ",Not Useful
/*retrieve an event from the console buffer*/,"-1.           if(GetConsoleMode(handle, &ret)) {

/*retrieve an event from the console buffer*/

1.             length = 0;
2.             if(PeekConsoleInput(handle, &inputrecord, 1, &length)) {",Not Useful
/*check if the event is not an actual key-event*/,"-2.             length = 0;
-1.             if(PeekConsoleInput(handle, &inputrecord, 1, &length)) {

/*check if the event is not an actual key-event*/

1.               if(length == 1 && inputrecord.EventType != KEY_EVENT) {",Not Useful
/*purge the non-key-event and continue waiting*/,"-1.               if(length == 1 && inputrecord.EventType != KEY_EVENT) {

/*purge the non-key-event and continue waiting*/

1.                 ReadConsoleInput(handle, &inputrecord, 1, &length);
2.                 ReleaseMutex(mutex);
3.                 ",Not Useful
"/*there is some data available, stop waiting*/","-6.                 SleepEx(0, FALSE);
-5.                 ReleaseMutex(mutex);
-4.                 continue;
-3.               }
-2.             }
-1.           }

/*there is some data available, stop waiting*/

1.           logmsg(""[select_ws_wait_threa",Not Useful
/*peek into the pipe and retrieve the amount of data available*/,"-7.           break;
-6.         }
-5.       }
-4.       break;
-3.     case FILE_TYPE_PIPE:
-2.        /* The handle represents an anonymous or named pipe, this means:
-1.         * - WaitForMultipleObjectsEx will always be signalled for it.
        * - ",Not Useful
"/*if there is no data available, sleep and continue waiting*/","-2.           length = 0;
-1.           if(PeekNamedPipe(handle, NULL, 0, NULL, &length, NULL)) {

/*if there is no data available, sleep and continue waiting*/

1.             if(length == 0) {
2.               SleepEx(0, FALSE);
3.               Release",Not Useful
"/*there is some data available, stop waiting*/","-6.                 SleepEx(0, FALSE);
-5.                 ReleaseMutex(mutex);
-4.                 continue;
-3.               }
-2.             }
-1.           }

/*there is some data available, stop waiting*/

1.           logmsg(""[select_ws_wait_threa",Not Useful
"/*The handle has an unknown type, try to wait on it*/","-5.           break;
-4.         }
-3.       }
-2.       break;
-1.     default:

/*The handle has an unknown type, try to wait on it*/

1.       if(WaitForMultipleObjectsEx(2, handles, FALSE, INFINITE, FALSE)
2.          == WAIT_OBJECT_0 + 1) {
3.       ",Not Useful
/*allocate internal waiting data structure*/,"-10.       }
-9.       break;
-8.   }
-7.   return 0;
-6. }
-5. static HANDLE select_ws_wait(HANDLE handle, HANDLE signal,
-4.                              HANDLE abort, HANDLE mutex)
-3. {
-2.   struct select_ws_wait_data *data;
-1.   HANDLE thread = NUL",Not Useful
/*free data if thread failed to launch*/,"-3.     thread = CreateThread(NULL, 0,
-2.                           &select_ws_wait_thread,
-1.                           data, 0, NULL);

/*free data if thread failed to launch*/

1.     if(!thread) {
2.       free(data);
3.     }
4.   }
5.   return thr",Not Useful
/*check if the input value is valid*/,"-10.                      fd_set *exceptfds, struct timeval *tv)
-9. {
-8.   HANDLE abort, mutex, signal, handle, *handles;
-7.   DWORD timeout_ms, wait, nfd, nth, nws, i;
-6.   fd_set readsock, writesock, exceptsock;
-5.   struct select_ws_data *data;
-4",Not Useful
/*convert struct timeval to milliseconds*/,"-4.   if(nfds < 0) {
-3.     errno = EINVAL;
-2.     return -1;
-1.   }

/*convert struct timeval to milliseconds*/

1.   if(tv) {
2.     timeout_ms = (DWORD)curlx_tvtoms(tv);
3.   }
4.   else {
5.     timeout_ms = INFINITE;
6.   }",Not Useful
"/*first handle stdin, stdout and stderr*/","-2.     if(wait != WAIT_FAILED && (wait - WAIT_OBJECT_0) <= i &&
-1.        WaitForSingleObjectEx(handle, 0, FALSE) == WAIT_OBJECT_0) {

/*first handle stdin, stdout and stderr*/

1.       if(fd == fileno(stdin)) {",Not Useful
/*sockfd turns CURL_SOCKET_BAD when our connection has been closed*/,"-6.       FD_SET(sockfd, &fds_read);
-5.       maxfd = (int)sockfd;
-4.     }
-3.     break;
-2.   case ACTIVE:
-1.     sockfd = *sockfdp;

/*sockfd turns CURL_SOCKET_BAD when our connection has been closed*/

1.     if(CURL_SOCKET_BAD != sockfd) {
2.    ",Not Useful
/*switch(*mode)*/,"-10.     logmsg(""process becomes orphan, exiting"");
-9.     return FALSE;
-8.   }
-7. #endif
-6.   timeout.tv_sec = 120;
-5.   timeout.tv_usec = 0;
-4.   FD_ZERO(&fds_read);
-3.   FD_ZERO(&fds_write);
-2.   FD_ZERO(&fds_err);
-1.   FD_SET((curl_socket_t)f",Not Useful
/*timeout*/,"-5. };
-4. static int select_ws(int nfds, fd_set *readfds, fd_set *writefds,
-3.                      fd_set *exceptfds, struct timeval *tv)
-2. {
-1.   HANDLE abort, mutex, signal, handle, *handles;
  DWORD timeout_ms, wait, nfd, nth, nws, i;

/*timeout*",Not Useful
