Line of Code,Comment,Class
do rf;,,Not Useful
// signed WPep2I0l5OC = 34;",Useful
continue aNB = 13;,,Not Useful
goto WwuqUG;,"// Usage of Variable in the line of code:
// goto WwuqUG;",Useful
void zsxZq;, // aQw zZJZ qPb784u dky c,Not Useful
double uGidULTo1Oc;,,Not Useful
volatile Fh;,"// Declaration of Parameter in the line of code:
// volatile Fh;",Useful
char pFKFM;, // YnwEIJDJK wt7RBc3s _Rn,Not Useful
void a7ZodP4j;, // _wjaQfhlt jtkYhbq F6zp5Elc moypfdy,Not Useful
break m7p;,,Not Useful
break GwORq5 = 45;,/* EGVLfBbR */ // eiaU5tM6,Not Useful
break eBE0M;,/* v */,Not Useful
long Jq_3n = 56;,"// Initialization of Result in the line of code:
// long Jq_3n = 56;",Useful
else FthO = 8;, // QHneWk AsZH dX1A EWn9W,Not Useful
void GwOHEvU4 = 50;,,Not Useful
do mQ;,"// Usage of Result in the line of code:
// do mQ;",Useful
char ugzCJm8;,/* f0 */,Not Useful
enum nJTnL3sSc;,"// Function of Parameter in the line of code:
// enum nJTnL3sSc;",Useful
long el5YjN = 78;,"// Calculation of Result in the line of code:
// long el5YjN = 78;",Useful
register pk = 53;,"// Calculation of Data in the line of code:
// register pk = 53;",Useful
float R;,,Not Useful
float T;,,Not Useful
while j;,/* P */ // ZY_QnKoRn CI L6nYdjGwln,Not Useful
int K3 = 62;,/* Xx6a2eE2Va */ // S01zIIIY3qu aeFH9rp,Not Useful
short Y3QgLmxXZj5;,"// Declaration of Parameter in the line of code:
// short Y3QgLmxXZj5;",Useful
else tp_ = 66;,"// Function of Data in the line of code:
// else tp_ = 66;",Useful
short _45WSmJJZ8D;,/* QKNA7A */,Not Useful
void Dowk = 81;, // DTQPpVX hqKSuqiS b2XPXhJvdc3,Not Useful
struct Vu1i;,"// Initialization of Parameter in the line of code:
// struct Vu1i;",Useful
switch y30N;,/* WUpwT6y3 */,Not Useful
typedef wf;,"// Explanation of Value in the line of code:
// typedef wf;",Useful
case I;,"// Calculation of Variable in the line of code:
// case I;",Useful
case U05P;,/* mWhLavaR */ // N86O1OJUrBW Tpq9y,Not Useful
struct z;,/* h8MNU2ttR */,Not Useful
void xMm;,"// Definition of Result in the line of code:
// void xMm;",Useful
continue rfCbCARa;,/* nQBAdJ */,Not Useful
return OVddqKfUh;,"// Calculation of Data in the line of code:
// return OVddqKfUh;",Useful
if LD3Lh9nPJ;,"// Initialization of Parameter in the line of code:
// if LD3Lh9nPJ;",Useful
char COibeBg;,,Not Useful
extern DP90J6 = 42;,/* imd */,Not Useful
float yp0Z1UCTy = 13;,"// Declaration of Data in the line of code:
// float yp0Z1UCTy = 13;",Useful
long KmU_vWFW = 42;,"// Usage of Value in the line of code:
// long KmU_vWFW = 42;",Useful
float PFwGT4hu = 58;,/* uTUTDy1juDA */ // ge4Jlb vO5A S0ESZl_v VwDzgm,Not Useful
float aQM7khQU = 74;,,Not Useful
struct FC5wMuK;,"// Function of Result in the line of code:
// struct FC5wMuK;",Useful
while bpgiiul58;,"// Initialization of Result in the line of code:
// while bpgiiul58;",Useful
switch uX4ZkNxzgFW;,"// Usage of Parameter in the line of code:
// switch uX4ZkNxzgFW;",Useful
case _u3rxLJJb6m;,"// Declaration of Value in the line of code:
// case _u3rxLJJb6m;",Useful
for hnYcQ = 41;,,Not Useful
int RYNn5v8Drwe;,"// Usage of Variable in the line of code:
// int RYNn5v8Drwe;",Useful
auto rld = 62;,"// Definition of Result in the line of code:
// auto rld = 62;",Useful
while xDslu = 81;,/* RyGcVr */,Not Useful
int UgMlbvw = 69;,"// Usage of Data in the line of code:
// int UgMlbvw = 69;",Useful
void PYp1B = 39;,"// Definition of Data in the line of code:
// void PYp1B = 39;",Useful
double V9W2MRRgRn = 3;,/* NFC5VxA */,Not Useful
typedef yr5D;,"// Definition of Data in the line of code:
// typedef yr5D;",Useful
typedef kj0nq;,/* nQbvsfJ */ // B96sqF,Not Useful
int K0vJK0az;,"// Function of Result in the line of code:
// int K0vJK0az;",Useful
while tDIJqr;,"// Definition of Value in the line of code:
// while tDIJqr;",Useful
typedef fqeO7p = 66;,"// Usage of Result in the line of code:
// typedef fqeO7p = 66;",Useful
typedef hvzHPi3wvX;,"// Declaration of Parameter in the line of code:
// typedef hvzHPi3wvX;",Useful
union WYALTY = 40;,/* yHAw */ // Lqoh atVOZW tP0JNfXnl uMeAQqHEplo,Not Useful
int Q3y25IXFI;,/* IS_YW4 */,Not Useful
while j = 20;,/* fa */ // ZFufV Lm IOzI,Not Useful
char khJnBL = 69;,"// Usage of Variable in the line of code:
// char khJnBL = 69;",Useful
else fSur8vNLKzM = 95;,/* pi5 */ // V,Not Useful
float NKf;,/* knDK9r */ // Xto9okqng JD4mvwoJ,Not Useful
if LzwuGBK = 40;,/* FiP */ // DjWtcd YvjnV_ STrvUQaY,Not Useful
short wNJC8 = 58;,,Not Useful
float LrT9EUjn6v = 78;,/* YK2H86bby */,Not Useful
do UV4SI4x;, // st8,Not Useful
return px;,/* a5onrB */ // NZ75,Not Useful
continue rikgpRP;, // fupPun92e4 OoQfx9Hg_ V4NMuiIds v1PJr HUpKN5,Not Useful
break Te1Ev;,"// Declaration of Value in the line of code:
// break Te1Ev;",Useful
switch hrvcUiZXWl = 6;, // ngy5aYCw eXx nEnAycV3 T5U,Not Useful
double DUUEl = 60;, // t1LvhC id1AM VNQX,Not Useful
const GOZx = 51;,"// Calculation of Variable in the line of code:
// const GOZx = 51;",Useful
void IgTA;,/* JmPF */,Not Useful
char fRnW = 58;, // u pbAuz QDc,Not Useful
while JlEea = 15;, // C1 JWLJahDe ce,Not Useful
double cfTtg1 = 68;,/* p176zvBh */,Not Useful
long z6Yxwhz2t48;, // L3gZzFYXArj D6p,Not Useful
volatile B = 0;, // fG Skh4Vu,Not Useful
for ecx3GM5XvI = 86;,/* pk4f1VEC */ // AbqbO Qpb56MWMzPm _hr4IGLkiea yBy,Not Useful
extern eyz = 87;,"// Calculation of Parameter in the line of code:
// extern eyz = 87;",Useful
if LGw34mWTI0N;,,Not Useful
unsigned L = 53;,"// Usage of Variable in the line of code:
// unsigned L = 53;",Useful
volatile d5 = 14;,"// Definition of Result in the line of code:
// volatile d5 = 14;",Useful
void yqjS1q;,/* Z5R_nBqmj */ // h,Not Useful
void tZST8A4K = 26;,"// Calculation of Variable in the line of code:
// void tZST8A4K = 26;",Useful
signed XN1M3 = 29;,"// Function of Value in the line of code:
// signed XN1M3 = 29;",Useful
typedef N_E9tg;,"// Usage of Result in the line of code:
// typedef N_E9tg;",Useful
break c = 84;,"// Initialization of Value in the line of code:
// break c = 84;",Useful
long P;,"// Explanation of Data in the line of code:
// long P;",Useful
do HvH9 = 64;,"// Initialization of Parameter in the line of code:
// do HvH9 = 64;",Useful
extern a;,"// Declaration of Data in the line of code:
// extern a;",Useful
char hOgojTsZs;,"// Declaration of Value in the line of code:
// char hOgojTsZs;",Useful
register U = 62;,"// Explanation of Data in the line of code:
// register U = 62;",Useful
case GNI7vPEUGuW;,"// Initialization of Result in the line of code:
// case GNI7vPEUGuW;",Useful
char scZfb = 25;,,Not Useful
break z3EoPEr7 = 61;,"// Declaration of Parameter in the line of code:
// break z3EoPEr7 = 61;",Useful
extern UQ = 64;, // sb0t9fKhx,Not Useful
register ofY;,"// Declaration of Result in the line of code:
// register ofY;",Useful
signed H4Xoa1 = 23;,"// Declaration of Variable in the line of code:
// signed H4Xoa1 = 23;",Useful
if NZZ2o = 54;,"// Calculation of Value in the line of code:
// if NZZ2o = 54;",Useful
enum bq = 24;,,Not Useful
for cGI5xz = 52;,/* eG6iJQ0lH */ // DN9Ia9 UVlGC5jbmyG gPsFg9joi OMzeaP,Not Useful
break Acjv = 43;, // HsY3ozqwr jZc52B,Not Useful
case FzwMMQXo;,,Not Useful
return bmgqcf;,,Not Useful
float loZSV7php;,"// Declaration of Result in the line of code:
// float loZSV7php;",Useful
float nRaIC__;, // cVOWhPQALb,Not Useful
else cSiaLrX8;,/* aIGun */ // jqtXdHNdG AZB_GQxF5tl,Not Useful
char RKMUP = 85;,"// Initialization of Parameter in the line of code:
// char RKMUP = 85;",Useful
return _rR = 6;,,Not Useful
float o = 34;, // IH d_SA2ES,Not Useful
static MO;, // LCY d XcjA,Not Useful
enum P4Rh1D;,"// Initialization of Result in the line of code:
// enum P4Rh1D;",Useful
struct jO2JZ;,"// Function of Result in the line of code:
// struct jO2JZ;",Useful
return xyhmFOVNsa;,/* Vn84WVOoe0 */,Not Useful
int CPtKWtjvIT = 34;,"// Declaration of Parameter in the line of code:
// int CPtKWtjvIT = 34;",Useful
double EVYAMf = 99;,/* vzmh */ // eMrXTkpv m9QevanR,Not Useful
volatile jWL;,"// Declaration of Result in the line of code:
// volatile jWL;",Useful
extern t1MDuUXe = 20;,"// Definition of Parameter in the line of code:
// extern t1MDuUXe = 20;",Useful
else XC0OrioIra;,"// Calculation of Result in the line of code:
// else XC0OrioIra;",Useful
default fjNAZ_WH;,"// Initialization of Data in the line of code:
// default fjNAZ_WH;",Useful
sizeof Vf544WV = 68;,/* wV */ // XDq2nN PJAm oOWT rPEXCrcsosk fB,Not Useful
char ea0tk_RbZ = 32;,/* vdrs3kpX1k */,Not Useful
return t3f5mgrVs = 61;,"// Explanation of Variable in the line of code:
// return t3f5mgrVs = 61;",Useful
char lJuE8Gf9hr = 21;,/* ukStHeHM */,Not Useful
signed L0cJPZr;,"// Function of Result in the line of code:
// signed L0cJPZr;",Useful
continue jn_I;,"// Function of Parameter in the line of code:
// continue jn_I;",Useful
unsigned o;,"// Explanation of Value in the line of code:
// unsigned o;",Useful
char i = 22;,"// Definition of Data in the line of code:
// char i = 22;",Useful
typedef hx6u = 94;,"// Usage of Data in the line of code:
// typedef hx6u = 94;",Useful
void nXq6bM7MQ5r;,,Not Useful
double IfU0;,/* vi1E */,Not Useful
double MY4RXl;,"// Calculation of Data in the line of code:
// double MY4RXl;",Useful
for cSaH = 41;,,Not Useful
sizeof k;,/* u */ // Gp0AHJA0Am w5E8 nTB0zdlCS9 Na55 _JX7mm1nilM,Not Useful
void rVo3R = 37;,,Not Useful
sizeof OYs6krnWzT;,/* jzs0vtDd3 */,Not Useful
if YX8EGZ = 41;, // dPOunlFTR8 iT5l8sj UmP WlZSW laPwR0pK1,Not Useful
case VBRVL3VJHjT;,"// Initialization of Value in the line of code:
// case VBRVL3VJHjT;",Useful
do MlD1VA;,"// Declaration of Parameter in the line of code:
// do MlD1VA;",Useful
typedef cSQkz = 57;,"// Function of Value in the line of code:
// typedef cSQkz = 57;",Useful
break cZA5QsSmt;,"// Declaration of Parameter in the line of code:
// break cZA5QsSmt;",Useful
char OriV = 70;,"// Declaration of Variable in the line of code:
// char OriV = 70;",Useful
char Gc = 45;, // lJZcPqdU2 a H_T WzL h,Not Useful
return lG1rq;,/* b */,Not Useful
char F1dm;,"// Calculation of Value in the line of code:
// char F1dm;",Useful
long mcSC;,/* WIRCm5dt */,Not Useful
continue YoEn4BHwe7;,"// Function of Parameter in the line of code:
// continue YoEn4BHwe7;",Useful
short jYMtvsKVmV;,"// Explanation of Parameter in the line of code:
// short jYMtvsKVmV;",Useful
short orHjudTMA;,"// Declaration of Result in the line of code:
// short orHjudTMA;",Useful
float uDAzjyoqfA;,"// Explanation of Parameter in the line of code:
// float uDAzjyoqfA;",Useful
long JqShCGFj6qh;,,Not Useful
if QQlPqVLIW = 68;,"// Function of Variable in the line of code:
// if QQlPqVLIW = 68;",Useful
double lKnu;,/* Uyn93_IKVX2 */ // fotWxOZG sLCLtAvReSH sL A,Not Useful
void N38ebi5;,,Not Useful
volatile k9odNlD = 35;, // S,Not Useful
void zwTuIcZtW;,/* DA5RfkusV */ // SvpjTP Hm6Sdc17E,Not Useful
extern Sbx;,"// Usage of Result in the line of code:
// extern Sbx;",Useful
union LPavSffZBR = 17;,"// Initialization of Value in the line of code:
// union LPavSffZBR = 17;",Useful
return aFc;,/* vL2 */ // pWrJr gzqaH,Not Useful
float miIoO = 93;,,Not Useful
union iU5Dxu_4 = 74;,/* aCM */ // rRtvlqfMq5i rWrbPR AdGpgk CND aW0i_Q,Not Useful
volatile HbOjoF1CG7 = 80;, // DYtqxbjAdN nMoaBEFw sC,Not Useful
case AIWEpoit1ka = 67;,"// Definition of Result in the line of code:
// case AIWEpoit1ka = 67;",Useful
do dSqi = 31;,/* nV */ // JWTyNk,Not Useful
switch j0sQdY = 1;,"// Declaration of Variable in the line of code:
// switch j0sQdY = 1;",Useful
union WnwZu0L = 65;, // vZEaWPoq BAxfNdJnG,Not Useful
int cv = 25;,"// Calculation of Variable in the line of code:
// int cv = 25;",Useful
do XPsmf7 = 76;,"// Declaration of Variable in the line of code:
// do XPsmf7 = 76;",Useful
else hivKF;,/* ZyuQXl */,Not Useful
typedef UeGZXZPmHb = 7;,"// Definition of Value in the line of code:
// typedef UeGZXZPmHb = 7;",Useful
return gJHH8T = 38;,,Not Useful
enum bqNS2kvSiI = 7;, // GgoY6Unk mp ibTWoGldQ1 PKJP6M,Not Useful
goto __MajD6bzU = 21;,/* yt51f */ // I4s2 fXIi67KHN,Not Useful
switch jz1nc6yEaxF;,"// Calculation of Result in the line of code:
// switch jz1nc6yEaxF;",Useful
long c8sgFZJGv79 = 26;,,Not Useful
register Fge = 41;,"// Declaration of Data in the line of code:
// register Fge = 41;",Useful
signed LLIFLyw = 25;, // wO C3y V9T J_8nL,Not Useful
register DPkioyWhyTP;,/* O54z */ // GOKgQB2nA,Not Useful
int KV8LQrbO34F = 22;,/* fvMmCl8 */ // fxetNUnVTs0,Not Useful
if D2Ei6yB_Kz;,"// Declaration of Variable in the line of code:
// if D2Ei6yB_Kz;",Useful
goto SkM1xP1S3gb = 51;, // Nm fSxO GHwd PkJMlM,Not Useful
float RKpRv = 45;,/* rac4wqGdx */ // MTrthUUUhuv Yp N GeIplIL1z RsXOavTa,Not Useful
for KZp;,,Not Useful
auto m4 = 59;,/* DrA */ // _6_3l,Not Useful
void dVZ;,"// Initialization of Variable in the line of code:
// void dVZ;",Useful
typedef w0lKk8uTft;,,Not Useful
default B66stKYt1 = 9;,"// Declaration of Value in the line of code:
// default B66stKYt1 = 9;",Useful
auto WxfTu7w6fc1;,/* tFq5l09ZvZ */ // SMBqXBY,Not Useful
short xnWROSO;,"// Explanation of Value in the line of code:
// short xnWROSO;",Useful
struct MRGvx6 = 45;, // _ BcI88MvfA,Not Useful
for XqiQ0tvsqcp;,/* GA9 */,Not Useful
static C = 5;,"// Calculation of Data in the line of code:
// static C = 5;",Useful
case R;,"// Definition of Parameter in the line of code:
// case R;",Useful
char C = 18;, // ku,Not Useful
static dR4rFlja = 36;,"// Initialization of Data in the line of code:
// static dR4rFlja = 36;",Useful
register h;,/* gK_ */,Not Useful
do Qo17DzJs;,/* Wzr */,Not Useful
float R6 = 58;,"// Calculation of Data in the line of code:
// float R6 = 58;",Useful
struct kIuB2RCa5;,"// Function of Result in the line of code:
// struct kIuB2RCa5;",Useful
int QP3ZIDSPu4g = 37;,"// Declaration of Value in the line of code:
// int QP3ZIDSPu4g = 37;",Useful
struct UEZC5XlVS = 56;,"// Usage of Value in the line of code:
// struct UEZC5XlVS = 56;",Useful
auto O = 99;,"// Calculation of Value in the line of code:
// auto O = 99;",Useful
const HOulv = 82;,"// Function of Parameter in the line of code:
// const HOulv = 82;",Useful
char KTDg1m_AXS = 42;, // mo,Not Useful
float T;,/* cilhDPwn0pY */ // fCqYxBl Xl5k IbwqXfI7q PnJDV7Lw,Not Useful
int Y;,"// Function of Variable in the line of code:
// int Y;",Useful
goto hCv868hL3 = 1;,"// Explanation of Variable in the line of code:
// goto hCv868hL3 = 1;",Useful
float sspr2f2G;,,Not Useful
enum WP;, // Duy6 IgBseS eZrFTus0LqJ DMRh4Z4zbL,Not Useful
switch Di = 82;,/* yL7Ddexuwg */ // I jgEEdA06,Not Useful
unsigned LGqnKnBXEJ = 99;,"// Declaration of Result in the line of code:
// unsigned LGqnKnBXEJ = 99;",Useful
goto V;,,Not Useful
else O1 = 72;,/* PLYOs6Yg */ // Ky FBs fEkGaw_aE,Not Useful
double fzBB = 80;,"// Declaration of Data in the line of code:
// double fzBB = 80;",Useful
extern jvdn7lIlPX;,,Not Useful
break Vlj7jZ = 17;,,Not Useful
unsigned YA;,"// Definition of Variable in the line of code:
// unsigned YA;",Useful
while KIawCDPjRV;,/* BdwH2i0S4 */,Not Useful
char I = 38;,,Not Useful
break MjV = 21;,"// Usage of Parameter in the line of code:
// break MjV = 21;",Useful
float tmdDURJY4;,"// Function of Value in the line of code:
// float tmdDURJY4;",Useful
static V0hOmDt;,"// Usage of Result in the line of code:
// static V0hOmDt;",Useful
while hqF;, // k KMY8GfVm9,Not Useful
default WCC0Zp = 32;,/* p5 */ // NsFasFqz_c,Not Useful
signed bQ1k5xBxnJ = 10;,"// Calculation of Parameter in the line of code:
// signed bQ1k5xBxnJ = 10;",Useful
while JIatUI;,"// Declaration of Data in the line of code:
// while JIatUI;",Useful
unsigned o6;, // MJhqmbaL e7,Not Useful
void H2;,/* Fvn */ // Zc8CldJtK H hD4Q_AFihF Gg4GIh8a1nP i,Not Useful
auto Gb_Qtll5Y;,"// Definition of Value in the line of code:
// auto Gb_Qtll5Y;",Useful
while gVo1Bt2Aze = 42;,"// Explanation of Parameter in the line of code:
// while gVo1Bt2Aze = 42;",Useful
enum A28d;,,Not Useful
char EesBNCYTL = 63;,"// Calculation of Value in the line of code:
// char EesBNCYTL = 63;",Useful
enum VHsMUZYpbD;,/* gR6 */ // rrwjEwZeOG jWi4G46cb gcMxK4Kq,Not Useful
return aZZ7jjKw;, // G g jSQ,Not Useful
static R;,"// Definition of Variable in the line of code:
// static R;",Useful
while t4muQv1aSLh;,"// Calculation of Value in the line of code:
// while t4muQv1aSLh;",Useful
else y5tKvA3mqFT;, // Kd5OWOW9ba,Not Useful
return Z = 13;,"// Definition of Data in the line of code:
// return Z = 13;",Useful
void W3Cq2 = 59;, // te4itgFFio,Not Useful
extern c9wiU86ypDQ;,"// Definition of Data in the line of code:
// extern c9wiU86ypDQ;",Useful
continue q = 54;,/* _X6NPemreo */ // CGJzF BcdE7a2 FB7u_B8nR75 t27j,Not Useful
float I4ib5APR;,,Not Useful
break WHRLALqvX;,/* j */ // d Fo9z7a03_ Ty3mu2hV aNYanO,Not Useful
register FY = 77;,"// Definition of Value in the line of code:
// register FY = 77;",Useful
const L7v5 = 34;,"// Initialization of Value in the line of code:
// const L7v5 = 34;",Useful
switch RVTDM;,"// Calculation of Data in the line of code:
// switch RVTDM;",Useful
enum au9MZUfCW = 11;,/* TFaG_Z */,Not Useful
goto SsEsM6gw;,,Not Useful
for Q9hl = 51;, // qwQxRbiomWQ,Not Useful
enum MXOg;,"// Initialization of Value in the line of code:
// enum MXOg;",Useful
signed vz3 = 72;, // CQs sPfjkY9lz,Not Useful
static r2XYneY;,/* t8tdLr11 */ // PYIb X fsb3IXq xcRulQYi9Nn JysiDA,Not Useful
extern wwd8aQ1 = 89;,"// Explanation of Variable in the line of code:
// extern wwd8aQ1 = 89;",Useful
goto nNGsr = 29;,"// Calculation of Result in the line of code:
// goto nNGsr = 29;",Useful
do LSImb3B;,"// Usage of Data in the line of code:
// do LSImb3B;",Useful
continue cbIeIBSDB;,/* pQ */,Not Useful
if QH;,"// Explanation of Variable in the line of code:
// if QH;",Useful
switch ECfrqOyl5IZ = 81;,/* V0ePhhTDeW */,Not Useful
long Qlj;,"// Initialization of Result in the line of code:
// long Qlj;",Useful
sizeof LQ0URSr89EP = 32;,/* CB */,Not Useful
long DiT94jP = 15;,"// Function of Parameter in the line of code:
// long DiT94jP = 15;",Useful
int jabm = 58;,"// Initialization of Variable in the line of code:
// int jabm = 58;",Useful
default BMA5;, // y3Yf_L5 w4xRRXaI qf_y gRwa0_wRc,Not Useful
continue w = 33;,/* cLRGA */ // BFqR B_1iS CbWUv7q b8 Rr,Not Useful
case e5hOfUPeGq8;,,Not Useful
char rS = 96;,/* wBLWmP */ // e,Not Useful
int iJ;,,Not Useful
unsigned fxl_UEZwFma;,"// Usage of Data in the line of code:
// unsigned fxl_UEZwFma;",Useful
if XHRoh = 16;, // E_llxRAZ LOgecGhzkBF PVyk9B5NC,Not Useful
if GKPLAHxpy2K = 57;,"// Usage of Value in the line of code:
// if GKPLAHxpy2K = 57;",Useful
goto Qu7MaCtvkd = 41;,"// Explanation of Data in the line of code:
// goto Qu7MaCtvkd = 41;",Useful
union ZnAyafDy1m;, // dEq ZAiK7lrz7_ ZUr hih,Not Useful
extern hk = 15;, // y3U19d wV3nzOrPc,Not Useful
auto lL8zD = 65;,,Not Useful
int cZr;,"// Explanation of Result in the line of code:
// int cZr;",Useful
static VjBGCH;,"// Initialization of Data in the line of code:
// static VjBGCH;",Useful
short CdRtMb = 52;,/* BV4q4IKGWa */,Not Useful
return rkNDEnaRRZ = 29;,/* Liw8CPHo4F */,Not Useful
short Mb46rezTwA;,"// Function of Data in the line of code:
// short Mb46rezTwA;",Useful
signed oQmI;,"// Initialization of Data in the line of code:
// signed oQmI;",Useful
return zY7 = 36;,"// Definition of Data in the line of code:
// return zY7 = 36;",Useful
register cIM = 72;,/* IdQFp */,Not Useful
char f6P;,"// Definition of Parameter in the line of code:
// char f6P;",Useful
char p3k = 18;,"// Declaration of Variable in the line of code:
// char p3k = 18;",Useful
float Wn;,,Not Useful
unsigned LwthynjJ804 = 68;,"// Initialization of Result in the line of code:
// unsigned LwthynjJ804 = 68;",Useful
const efw5;,/* rPY6lG1 */,Not Useful
long rCq6tut = 48;, // I2KQQb r0Ob_U0AK_ c yNKwlX1Lf6,Not Useful
return zxTcU = 40;,/* e003KRjy */,Not Useful
volatile Y;,/* XOo5DN4 */,Not Useful
typedef LrLGkvl;,"// Declaration of Data in the line of code:
// typedef LrLGkvl;",Useful
void sBK6B2wh = 39;,"// Function of Variable in the line of code:
// void sBK6B2wh = 39;",Useful
sizeof t0 = 12;, // TGlPEyz kc mke r_WZaxsLQ Noy6Zv52,Not Useful
auto D;,/* AAbEBl_em */,Not Useful
char Ni9;,"// Usage of Data in the line of code:
// char Ni9;",Useful
switch Rdfnd = 13;,/* AFtqULD8_d */,Not Useful
default UYJm3Li7er = 10;, // e kA gUX63Q6 zh5X8oCe QNJBr,Not Useful
for z = 59;,/* eqIknd */,Not Useful
else UcZgEzzzz;,/* HnWb */ // i_IcOU,Not Useful
short gbma;,"// Definition of Parameter in the line of code:
// short gbma;",Useful
char UH;,"// Calculation of Variable in the line of code:
// char UH;",Useful
return i = 28;,"// Initialization of Data in the line of code:
// return i = 28;",Useful
else H4oArvPZ;,"// Definition of Value in the line of code:
// else H4oArvPZ;",Useful
float uwToRx;,"// Definition of Data in the line of code:
// float uwToRx;",Useful
auto YQ4rdGGV5u = 32;, // wAwAEdR cn6 c ijWH1Xwlcq oN83G9jvjAc,Not Useful
switch vMqaLyD;,"// Function of Data in the line of code:
// switch vMqaLyD;",Useful
if xm6y;,"// Explanation of Data in the line of code:
// if xm6y;",Useful
double N2zCS2oCC = 7;,"// Definition of Result in the line of code:
// double N2zCS2oCC = 7;",Useful
else rGXkU7YJt = 83;, // KrshSyM kShisaUGE _X rQ21cw6 tJacTWiRFbj,Not Useful
void juj;,"// Declaration of Parameter in the line of code:
// void juj;",Useful
while xQB1M31Qac = 24;,/* dd */,Not Useful
auto ZiuVCwsn;,"// Usage of Parameter in the line of code:
// auto ZiuVCwsn;",Useful
struct dg = 36;,"// Calculation of Parameter in the line of code:
// struct dg = 36;",Useful
default yCJEroU;,"// Calculation of Data in the line of code:
// default yCJEroU;",Useful
long UlR;,"// Definition of Parameter in the line of code:
// long UlR;",Useful
int d;,"// Initialization of Parameter in the line of code:
// int d;",Useful
continue gB6TD = 1;,,Not Useful
register AJfaP53M = 39;,/* oLPAElqo */,Not Useful
goto DuJX;,"// Explanation of Variable in the line of code:
// goto DuJX;",Useful
case c1zjT3yJ = 91;,"// Usage of Value in the line of code:
// case c1zjT3yJ = 91;",Useful
char bfNAr;,"// Initialization of Data in the line of code:
// char bfNAr;",Useful
union Lc;, // pxiNPZ1,Not Useful
void JE5Ub;,"// Definition of Data in the line of code:
// void JE5Ub;",Useful
float i_SjPx = 8;,"// Usage of Value in the line of code:
// float i_SjPx = 8;",Useful
typedef MMIC;,/* aqCLxSV */,Not Useful
double qIltq0AmA;,"// Explanation of Result in the line of code:
// double qIltq0AmA;",Useful
long JktW = 99;,/* Org */,Not Useful
long uzoF2bOpcx = 76;,"// Calculation of Parameter in the line of code:
// long uzoF2bOpcx = 76;",Useful
while i8a;,,Not Useful
while XrjYEM9V2S;,/* puRJFa */,Not Useful
char hrwWSVyTt = 26;,/* DTEy */,Not Useful
float sMzm = 91;,"// Explanation of Value in the line of code:
// float sMzm = 91;",Useful
register WRs8UqErcE;,"// Usage of Data in the line of code:
// register WRs8UqErcE;",Useful
int vempH = 7;,"// Declaration of Variable in the line of code:
// int vempH = 7;",Useful
sizeof A;,"// Calculation of Variable in the line of code:
// sizeof A;",Useful
break ML;,,Not Useful
sizeof Fjp = 10;,"// Declaration of Variable in the line of code:
